data,admissoes,desligamentos,colaboradores,horas_ausencia,horas_programadas
2026-01-31,3,1,48,72.0,8448.0
2026-02-28,2,2,49,64.0,7840.0
2026-03-31,4,1,52,88.0,9152.0
2026-04-30,1,3,50,96.0,8800.0
2026-05-11,1,0,53,6.0,424.0
2026-05-12,0,0,53,4.0,424.0
2026-05-13,2,1,54,8.0,432.0
2026-05-14,0,0,54,5.0,432.0
2026-05-15,1,0,55,7.0,440.0
2026-05-31,1,1,55,50.0,7568.0
2026-06-30,2,1,56,68.0,9856.0
2026-07-31,3,2,57,92.0,10032.0
2026-08-31,4,1,60,76.0,10560.0
2026-09-30,1,2,59,84.0,10384.0
2026-10-31,2,1,60,70.0,10560.0
2026-11-30,3,2,61,90.0,10736.0
2026-12-31,2,1,62,82.0,10912.0
